Leaf,SD1,SD2,SD3,SD4,SD5,GCL1,GCL2,GCL3,GCL4,GCL5,GCL6,GCL7,GCL8,GCL9,GCL10,Data collected by
BBR01-02-03,0.00016528,0.00018030,0.00013523,0.00014274,0.00015025,19.52357678,18.34103494,18.56517971,21.80226074,20.86669996,23.25054723,20.07295692,19.82917585,20.26117453,17.74060041,Huang Jie
BBR01-02-04,0.00022538,0.00021787,0.00022538,0.00025543,0.00021787,20.11746588,17.37871060,17.77900029,22.25898662,18.16576274,21.48691625,18.77303362,20.33884702,16.99165724,19.15979607,Huang Jie
BBR01-02-05,0.00016528,0.00021787,0.00025543,0.00025543,0.00019533,25.05839625,21.98335109,17.35907430,18.93826948,19.33928644,19.77753964,20.18728385,19.98350265,21.42335280,19.63470372,Huang Jie
BBR02-01-01,,,,,,,,,,,,,,,,
BBR02-01-02,,,,,,,,,,,,,,,,
BBR02-01-03,,,,,,,,,,,,,,,,
BBR02-01-04,,,,,,,,,,,,,,,,
BBR02-01-05,,,,,,,,,,,,,,,,
BBR02-02-01,,,,,,,,,,,,,,,,
BBR02-02-02,,,,,,,,,,,,,,,,
BBR02-02-03,,,,,,,,,,,,,,,,
BBR02-02-04,,,,,,,,,,,,,,,,
BBR02-02-05,,,,,,,,,,,,,,,,
BBR03-01-01,0.00015018,,,,,23.90000000,22.19100000,22.72700000,21.22500000,24.47000000,,,,,,Hong Jhun
BBR03-01-02,0.00020455,,,,,21.87200000,24.57700000,23.75000000,26.82800000,23.24800000,,,,,,Hong Jhun
BBR03-01-03,0.00020196,,,,,19.87100000,21.92800000,20.24100000,21.41700000,25.43500000,,,,,,Hong Jhun
BBR03-01-04,0.00017866,,,,,18.61900000,19.92000000,18.80000000,22.01700000,19.46100000,,,,,,Hong Jhun
BBR03-01-05,0.00020455,,,,,22.31700000,21.91000000,21.79400000,19.09300000,20.50700000,,,,,,Hong Jhun
BBR03-02-01,,,,,,,,,,,,,,,,
BBR03-02-02,,,,,,,,,,,,,,,,
BBR03-02-03,,,,,,,,,,,,,,,,
BBR03-02-04,,,,,,,,,,,,,,,,
BBR03-02-05,,,,,,,,,,,,,,,,
BBR04-01-01,0.00012946,,,,,20.59800000,23.76700000,20.79800000,20.35400000,20.43100000,,,,,,Hong Jhun
BBR04-01-02,0.00012687,,,,,22.19200000,22.69900000,21.32800000,23.57700000,22.65600000,,,,,,Hong Jhun
BBR04-01-03,0.00015794,,,,,20.33500000,19.80900000,21.97300000,20.10300000,20.43100000,,,,,,Hong Jhun
BBR04-01-04,0.00017866,,,,,19.53700000,19.61000000,21.73400000,18.67200000,21.50200000,,,,,,Hong Jhun
BBR04-01-05,0.00020973,,,,,18.09000000,18.81100000,18.97000000,22.31700000,19.54300000,,,,,,Hong Jhun
BBR04-02-01,,,,,,,,,,,,,,,,
BBR04-02-02,,,,,,,,,,,,,,,,
BBR04-02-03,,,,,,,,,,,,,,,,
BBR04-02-04,,,,,,,,,,,,,,,,
BBR04-02-05,,,,,,,,,,,,,,,,
BBR05-01-01,,,,,,,,,,,,,,,,
BBR05-01-02,,,,,,,,,,,,,,,,
BBR05-01-03,,,,,,,,,,,,,,,,
BBR05-01-04,,,,,,,,,,,,,,,,
BBR05-01-05,,,,,,,,,,,,,,,,
BBR05-02-01,,,,,,,,,,,,,,,,
BBR05-02-02,,,,,,,,,,,,,,,,
BBR05-02-03,,,,,,,,,,,,,,,,
BBR05-02-04,,,,,,,,,,,,,,,,
BBR05-02-05,,,,,,,,,,,,,,,,
BPA01-01-01,0.00017348,,,,,18.43900000,16.86900000,15.07700000,20.49400000,17.12000000,,,,,,Hong Jhun
BPA01-01-02,0.00016571,,,,,16.14600000,16.05300000,16.43100000,20.26100000,18.45400000,,,,,,Hong Jhun
BPA01-01-03,0.00016571,,,,,14.55600000,18.66800000,17.23800000,16.60400000,15.88500000,,,,,,Hong Jhun
BPA01-01-04,0.00015277,,,,,17.86700000,17.52000000,19.37300000,19.02700000,17.16700000,,,,,,Hong Jhun
BPA01-01-05,0.00018125,,,,,21.18400000,19.05500000,18.16300000,15.91600000,18.32000000,,,,,,Hong Jhun
BPA02-01-01,0.00015536,,,,,19.36300000,19.02000000,19.13700000,17.53800000,17.97600000,,,,,,Hong Jhun
BPA02-01-02,0.00019678,,,,,19.05200000,21.28600000,19.05700000,20.94100000,20.37300000,,,,,,Hong Jhun
BPA02-01-03,0.00020973,,,,,18.49300000,19.62500000,17.30300000,19.77900000,18.94900000,,,,,,Hong Jhun
BPA02-01-04,0.00016571,,,,,18.89300000,20.62400000,20.77200000,20.27700000,22.28200000,,,,,,Hong Jhun
BPA02-01-05,0.00021750,,,,,23.02300000,18.26500000,18.56700000,20.50700000,20.83200000,,,,,,Hong Jhun
BPA03-01-01,0.00021232,,,,,16.62600000,16.91700000,18.33600000,19.37300000,18.32300000,,,,,,Hong Jhun
BPA03-01-02,0.00020455,,,,,16.79000000,19.61700000,19.39000000,18.47900000,18.45400000,,,,,,Hong Jhun
BPA03-01-03,0.00019937,,,,,16.72900000,17.68600000,17.14700000,17.62600000,19.37000000,,,,,,Hong Jhun
BPA03-01-04,0.00019161,,,,,20.52600000,16.68300000,21.29500000,19.32400000,17.58000000,,,,,,Hong Jhun
BPA03-01-05,0.00024339,,,,,17.38500000,16.59700000,18.48200000,17.58000000,17.64900000,,,,,,Hong Jhun
CSQ01-01-01,0.00019678,,,,,29.48200000,21.14600000,29.22400000,24.49100000,24.93800000,,,,,,Hong Jhun
CSQ01-01-02,0.00021491,,,,,29.74800000,20.98300000,30.93100000,28.25800000,21.17600000,,,,,,Hong Jhun
CSQ01-01-03,0.00015794,,,,,25.98800000,27.90600000,30.53200000,28.94200000,25.68900000,,,,,,Hong Jhun
CSQ01-01-04,0.00021491,,,,,23.91500000,25.68700000,26.52300000,23.54400000,20.06700000,,,,,,Hong Jhun
CSQ01-01-05,0.00018902,,,,,21.61500000,24.99800000,24.76000000,24.07700000,28.00900000,,,,,,Hong Jhun
CSQ01-02-01,,,,,,,,,,,,,,,,
CSQ01-02-02,,,,,,,,,,,,,,,,
CSQ01-02-03,,,,,,,,,,,,,,,,
CSQ01-02-04,,,,,,,,,,,,,,,,
CSQ01-02-05,,,,,,,,,,,,,,,,
CSQ02-01-01,0.00011911,,,,,32.18000000,24.60900000,22.93600000,20.83200000,28.03000000,,,,,,Hong Jhun
CSQ02-01-02,0.00013205,,,,,27.78200000,22.84800000,27.63100000,30.57700000,24.44300000,,,,,,Hong Jhun
CSQ02-01-03,0.00011134,,,,,29.42400000,23.35000000,28.31900000,28.31900000,20.60500000,,,,,,Hong Jhun
CSQ02-01-04,0.00012946,,,,,29.23800000,27.96900000,28.43100000,23.92500000,30.54300000,,,,,,Hong Jhun
CSQ02-01-05,0.00010616,,,,,26.04200000,24.93900000,25.18000000,19.96700000,27.07500000,,,,,,Hong Jhun
CSQ02-02-01,,,,,,,,,,,,,,,,
CSQ02-02-02,,,,,,,,,,,,,,,,
CSQ02-02-03,,,,,,,,,,,,,,,,
CSQ02-02-04,,,,,,,,,,,,,,,,
CSQ02-02-05,,,,,,,,,,,,,,,,
CSQ03-01-01,,,,,,,,,,,,,,,,
CSQ03-01-02,,,,,,,,,,,,,,,,
CSQ03-01-03,,,,,,,,,,,,,,,,
CSQ03-01-04,,,,,,,,,,,,,,,,
CSQ03-01-05,,,,,,,,,,,,,,,,
CSQ03-02-01,,,,,,,,,,,,,,,,
CSQ03-02-02,,,,,,,,,,,,,,,,
CSQ03-02-03,,,,,,,,,,,,,,,,
CSQ03-02-04,,,,,,,,,,,,,,,,
CSQ03-02-05,,,,,,,,,,,,,,,,
CSQ04-01-01,0.00022527,,,,,28.85700000,24.88600000,25.73000000,21.01600000,24.62300000,,,,,,Hong Jhun
CSQ04-01-02,0.00017866,,,,,25.66400000,22.24400000,23.35900000,24.78800000,26.80400000,,,,,,Hong Jhun
CSQ04-01-03,0.00017607,,,,,25.56800000,21.49400000,21.64700000,18.97000000,25.05000000,,,,,,Hong Jhun
CSQ04-01-04,0.00016571,,,,,28.98300000,18.44600000,28.96700000,29.13600000,30.27500000,,,,,,Hong Jhun
CSQ04-01-05,0.00019937,,,,,25.26600000,26.54700000,21.04500000,22.84000000,24.45900000,,,,,,Hong Jhun
CSQ04-02-01,,,,,,,,,,,,,,,,
CSQ04-02-02,,,,,,,,,,,,,,,,
CSQ04-02-03,,,,,,,,,,,,,,,,
CSQ04-02-04,,,,,,,,,,,,,,,,
CSQ04-02-05,,,,,,,,,,,,,,,,
CSQ05-01-01,,,,,,,,,,,,,,,,
CSQ05-01-02,,,,,,,,,,,,,,,,
CSQ05-01-03,,,,,,,,,,,,,,,,
CSQ05-01-04,,,,,,,,,,,,,,,,
CSQ05-01-05,,,,,,,,,,,,,,,,
CSQ05-02-01,,,,,,,,,,,,,,,,
CSQ05-02-02,,,,,,,,,,,,,,,,
CSQ05-02-03,,,,,,,,,,,,,,,,
CSQ05-02-04,,,,,,,,,,,,,,,,
CSQ05-02-05,,,,,,,,,,,,,,,,
EMA01-01-01,0.00042205,,,,,20.26500000,22.23300000,16.12600000,17.93200000,18.66100000,,,,,,Hong Jhun
EMA01-01-02,0.00040651,,,,,19.72000000,23.11000000,19.74000000,16.24200000,19.99900000,,,,,,Hong Jhun
EMA01-01-03,0.00039357,,,,,18.09800000,18.98300000,20.37900000,18.55900000,18.66100000,,,,,,Hong Jhun
EMA01-01-04,0.00041428,,,,,17.66900000,17.25300000,17.95200000,19.14100000,22.20900000,,,,,,Hong Jhun
EMA01-01-05,0.00049973,,,,,15.84500000,15.33900000,16.20800000,17.68500000,18.65100000,,,,,,Hong Jhun
EMA01-02-01,,,,,,,,,,,,,,,,
EMA01-02-02,,,,,,,,,,,,,,,,
EMA01-02-03,,,,,,,,,,,,,,,,
EMA01-02-04,,,,,,,,,,,,,,,,
EMA01-02-05,,,,,,,,,,,,,,,,
EMA02-01-01,0.00030553,,,,,14.67500000,14.81200000,15.98900000,16.47100000,19.53100000,,,,,,Hong Jhun
EMA02-01-02,0.00032625,,,,,18.09000000,18.26300000,15.76600000,18.65800000,18.44300000,,,,,,Hong Jhun
EMA02-01-03,0.00025375,,,,,14.95600000,15.86600000,15.07300000,17.20700000,16.70900000,,,,,,Hong Jhun
EMA02-01-04,0.00031848,,,,,15.10900000,17.99700000,18.79000000,17.03600000,18.20500000,,,,,,Hong Jhun
EMA02-01-05,0.00028741,,,,,17.50800000,15.16300000,16.15100000,16.99800000,13.32100000,,,,,,Hong Jhun
EMA02-02-01,,,,,,,,,,,,,,,,
EMA02-02-02,,,,,,,,,,,,,,,,
EMA02-02-03,,,,,,,,,,,,,,,,
EMA02-02-04,,,,,,,,,,,,,,,,
EMA02-02-05,,,,,,,,,,,,,,,,
EMA03-01-01,0.00035473,,,,,21.38700000,16.07000000,19.34600000,15.92300000,19.67800000,,,,,,Hong Jhun
EMA03-01-02,0.00035214,,,,,15.54900000,20.87800000,17.92500000,21.00400000,15.97900000,,,,,,Hong Jhun
EMA03-01-03,0.00037544,,,,,22.21200000,15.82000000,17.88900000,16.32200000,16.40500000,,,,,,Hong Jhun
