Leaf,TL1,TL2,TL3,Data collected by,Area
GPA05-01-02,14679.20968,14801.36339,14639.46512,Huang Jie,2631214
GPA05-01-03,14071.44225,14066.25113,14021.0721,Huang Jie,2631214
GPA05-01-04,14387.69545,14559.16487,14444.55452,Huang Jie,2631214
GPA05-01-05,14387.77656,14497.19579,14508.55138,Huang Jie,2631214
GPA05-02-01,22653.34292,22747.90049,22147.75648,Huang Jie,4259464
GPA05-02-02,21870.01541,22974.00126,22415.37884,Huang Jie,4259464
GPA05-02-03,24740.58796,24365.84688,23855.02662,Huang Jie,4259464
GPA05-02-04,24647.77499,24397.9476,24921.67793,Huang Jie,4259464
GPA05-02-05,24008.90076,23766.40071,22952.71708,Huang Jie,4259464
GPA06-01-01,14013.85319,14236.34165,14217.60493,Huang Jie,2631214
GPA06-01-02,15198.16017,15036.91079,14639.14067,Huang Jie,2631214
GPA06-01-03,14567.43823,14405.21551,14760.07771,Huang Jie,2631214
GPA06-01-04,15117.77881,14935.19714,14669.07076,Huang Jie,2631214
GPA06-01-05,15061.81197,15328.66835,15202.45907,Huang Jie,2631214
GPA06-02-01,22175.67015,22639.735,23151.25309,Huang Jie,4259464
GPA06-02-02,23248.95096,23595.42945,23114.6164,Huang Jie,4259464
GPA06-02-03,21038.1879,21537.14484,21906.30319,Huang Jie,4259464
GPA06-02-04,19794.63368,22025.63415,21718.58373,Huang Jie,4259464
GPA06-02-05,14829.63152,14109.80524,14658.57678,Huang Jie,4259464
HCR01-01-01,25172.04335,25084.07234,25549.52742,Huang Jie,4259464
HCR01-01-02,problematic,,,Huang Jie,#VALUE!
HCR01-01-03,25314.47261,24874.1521,25686.83667,Huang Jie,4259464
HCR01-01-04,25686.60394,25909.55692,25316.56715,Huang Jie,4259464
HCR01-01-05,27452.30778,28355.0579,26727.12877,Huang Jie,4259464
HCR01-02-01,problematic,,,,#VALUE!
HCR01-02-02,,,,,#VALUE!
HCR01-02-03,,,,,#VALUE!
HCR01-02-04,,,,,#VALUE!
HCR01-02-05,,,,,#VALUE!
HCR02-01-01,22330.57974,25374.49769,22842.97518,Huang Jie,4259464
HCR02-01-02,28442.09102,27234.86191,28804.85507,Huang Jie,4259464
HCR02-01-03,24431.75179,24288.04564,25412.5502,Huang Jie,4259464
HCR02-01-04,27497.896,24276.1455,26737.42153,Huang Jie,4259464
HCR02-01-05,30180.55721,31251.33661,30311.51299,Huang Jie,4259464
HCR02-02-01,31796.37675,31595.41652,30328.03665,Huang Jie,4259464
HCR02-02-02,31870.85732,31016.47574,31871.95114,Huang Jie,4259464
HCR02-02-03,30222.45592,31251.84861,29645.43126,Huang Jie,4259464
HCR02-02-04,31871.58653,31715.97714,32463.45921,Huang Jie,4259464
HCR02-02-05,31792.50572,30610.17224,32541.72548,Huang Jie,4259464
HCR03-01-01,Problematic,,,Huang Jie,#VALUE!
HCR03-01-02,31295.93497,31630.3722,31215.19403,Huang Jie,4259464
HCR03-01-03,32385.88337,32541.34536,32374.63487,Huang Jie,4259464
HCR03-01-04,31251.09613,31878.38218,31261.9102,Huang Jie,4259464
HCR03-01-05,31878.10291,32533.96014,31801.78379,Huang Jie,4259464
HCR03-02-01,30299.83783,31049.71699,31258.96232,Huang Jie,4259464
HCR03-02-02,32541.06609,31798.31615,31808.21483,Huang Jie,4259464
HCR03-02-03,30591.55404,31680.63359,31859.53901,Huang Jie,4259464
HCR03-02-04,31592.17385,31789.19323,31858.78652,Huang Jie,4259464
HCR03-02-05,32538.51384,31804.11106,31243.63333,Huang Jie,4259464
HCR04-01-01,Problematic,,,Huang Jie,#VALUE!
HCR04-01-02,,,,Huang Jie,#VALUE!
HCR04-01-03,,,,Huang Jie,#VALUE!
HCR04-01-04,,,,Huang Jie,#VALUE!
HCR04-01-05,,,,Huang Jie,#VALUE!
HCR04-02-01,,,,Huang Jie,#VALUE!
HCR04-02-02,,,,Huang Jie,#VALUE!
HCR04-02-03,,,,Huang Jie,#VALUE!
HCR04-02-04,,,,Huang Jie,#VALUE!
HCR04-02-05,,,,Huang Jie,#VALUE!
HCR05-01-01,31254.75771,31719.81715,30912.33792,Huang Jie,4259464
HCR05-01-02,30670.06855,32546.54294,31032.852,Huang Jie,4259464
HCR05-01-03,32188.92605,31878.91745,31711.95872,Huang Jie,4259464
HCR05-01-04,31777.06812,32459.61145,31705.20186,Huang Jie,4259464
HCR05-01-05,28569.22154,30670.01425,29863.41939,Huang Jie,4259464
HCR05-02-01,31159.90572,30787.4796,29910.31399,Huang Jie,4259464
